id,prompt,intent,entity,type,digit
243,Kode KBLI buat usaha bengkel sepeda motor?,cari kode,usaha bengkel sepeda motor,KBLI,null
244,"Saya punya warung makan, apakah saya perlu mendaftarkan kode KBLI?",lainnya,null,KBLI,null
245,Kode KBLI buat usaha produksi film apa?,cari kode,usaha produksi film,KBLI,null
246,Gimana caranya tau usaha jasa perlu kode KBLI nggak?,lainnya,null,KBLI,null
247,Apa itu VR dan bagaimana cara kerjanya?,lainnya,null,null,null
248,Jenis pekerjaan apa yang nggak masuk KBLI?,lainnya,null,KBLI,null
249,Apa itu KBJI dan KBLI?,lainnya,null,semua,null
250,Kode KBJI 8412 mencakup pekerjaan apa?,jelaskan kode,8412,KBJI,4
251,Kode KBLI buat usaha sewa mobil apa?,cari kode,usaha sewa mobil,KBLI,null
252,Kode KBJI buat pekerjaan teknisi listrik?,cari kode,teknisi listrik,KBJI,null
253,Apa itu mindfulness dan manfaatnya?,lainnya,null,null,null
254,Apa itu efek rumah kaca?,lainnya,null,null,null
255,Jenis pekerjaan apa yang termasuk dalam KBLI 84120?,jelaskan kode,84120,KBLI,5
256,Kode KBJI buat pekerjaan manajer proyek ada?,cari kode,manajer proyek,KBJI,null
257,Penjelasan tentang KBLI 5821 apa?,jelaskan kode,5821,KBLI,4
258,Apa saja yang termasuk dalam kode KBJI 2131?,jelaskan kode,2131,KBJI,4
259,Kode KBJI buat pekerjaan ahli bedah?,cari kode,ahli bedah,KBJI,null
260,Jelaskan kode KBLI 52100 untuk logistik,jelaskan kode,52100,KBLI,5
261,Kode KBJI 5312 mencakup profesi apa?,jelaskan kode,5312,KBJI,4
262,Kode KBJI 4212 itu buat kerjaan apa aja?,jelaskan kode,4212,KBJI,4
263,Siapa yang menetapkan kode KBLI untuk planet lain?,lainnya,null,KBLI,null
264,Kapan Proklamasi Kemerdekaan Indonesia?,lainnya,null,null,null
265,Kode KBLI untuk usaha pabrik coklat ajaib apa?,cari kode,pabrik coklat ajaib,KBLI,null
266,Lokasi restoran sushi terbaik di Tokyo?,lainnya,null,null,null
267,Detail tentang kode KBLI 51202 apa saja?,jelaskan kode,51202,KBLI,5
268,Kode KBLI untuk usaha makanan alien apa?,cari kode,makanan alien,KBLI,null
269,Apakah KBLI berguna untuk saya?,lainnya,null,KBLI,null
270,Bagaimana cara membuat kue lapis legit?,lainnya,null,null,null
271,Bagaimana cara mengetahui apakah bisnis jasa saya memerlukan kode KBLI?,lainnya,null,KBLI,null
272,Kode KBJI buat pekerjaan instruktur yoga?,cari kode,instruktur yoga,KBJI,null
273,Gimana cara investasi saham untuk pemula?,lainnya,null,null,null
274,"assistant: <MSG>...penjelasan panjang...</MSG>
user: <MSG>Terima kasih atas bantuannya</MSG>",lainnya,null,null,null
275,KBLI itu penting nggak buat usaha kecil?,lainnya,null,KBLI,null
276,Detail tentang kode KBLI 42900 apa saja?,jelaskan kode,42900,KBLI,5
277,Apa kegunaan dari KBJI dan KBLI?,lainnya,null,semua,null
278,Tips agar tidur lebih nyenyak gimana?,lainnya,null,null,null
279,Apa saja pekerjaan dalam kode KBJI 2133?,jelaskan kode,2133,KBJI,4
280,Bagaimana cara memelihara hewan dari dimensi lain?,lainnya,null,null,null
281,Cara merawat kucing anggora gimana ya?,lainnya,null,null,null
282,"Saya punya usaha cuci mobil, apakah perlu kode KBLI?",lainnya,null,KBLI,null
283,"Saya ingin memulai bisnis baru, bagaimana cara mengetahui kode KBJI atau KBLI yang cocok?",lainnya,null,semua,null
284,Apa kode KBLI untuk usaha penyewaan pesawat luar angkasa?,cari kode,penyewaan pesawat luar angkasa,KBLI,null
285,Kode KBLI untuk usaha pertanian di bulan apa?,cari kode,pertanian di bulan,KBLI,null
286,Apakah ada kode KBJI untuk pekerjaan sebagai pengamat galaksi?,cari kode,pengamat galaksi,KBJI,null
287,"Kalau mau jualan kopi kekinian, kodenya apa ya di KBLI?",cari kode,jualan kopi kekinian,KBLI,null
288,"Kalau nyari teknisi komputer, ada nggak kode KBJI yang cocok?",cari kode,teknisi komputer,KBJI,null
289,Cara memotret dengan smartphone biar keren?,lainnya,null,null,null
290,Apakah ada kode KBJI untuk pekerjaan sebagai kapten kapal luar angkasa?,cari kode,kapten kapal luar angkasa,KBJI,null
291,Kode KBJI buat pekerjaan editor majalah?,cari kode,editor majalah,KBJI,null
292,Berapa digit kode KBLI untuk usaha manufaktur?,cari kode,usaha manufaktur,KBLI,5
293,"Gue punya kebun di kampung, usaha pertanian kecil-kecilan, perlu daftar KBLI nggak sih?",lainnya,null,KBLI,null
294,Kode KBJI untuk pekerjaan jurnalis ada nggak?,cari kode,jurnalis,KBJI,null
295,Tanggal berapa Hari Kemerdekaan Indonesia?,lainnya,null,null,null
296,Apa beda KBJI dan KBLI? Penting nggak sih buat bisnis?,lainnya,null,semua,null
297,Kode KBLI untuk usaha robot pembantu rumah tangga apa?,cari kode,robot pembantu rumah tangga,KBLI,null
298,Kode KBJI buat pekerjaan pemandu wisata?,cari kode,pemandu wisata,KBJI,null
299,Kode KBLI untuk toko elektronik apa ya?,cari kode,toko elektronik,KBLI,null
300,Resep smoothie sehat untuk sarapan?,lainnya,null,null,null
301,Bagaimana cara mengetahui apakah suatu usaha perlu menggunakan KBJI?,lainnya,null,KBJI,null
302,Kode KBLI buat usaha pabrik sepatu apa?,cari kode,usaha pabrik sepatu,KBLI,null
303,KBJI ada di peraturan pemerintah nggak?,lainnya,null,KBJI,null
304,Kode pos Jakarta Pusat berapa ya?,lainnya,null,null,null
305,Apa itu cloud computing?,lainnya,null,null,null
306,Jenis pekerjaan apa yang tidak termasuk dalam KBJI?,lainnya,null,KBJI,null
307,Apa saja manfaat dari vitamin C?,lainnya,null,null,null
308,Apa saja pekerjaan yang termasuk dalam KBJI 9876 di galaksi lain?,jelaskan kode,9876 di galaksi lain,KBJI,4
309,Kode KBJI buat peternak ikan ada nggak?,cari kode,peternak ikan,KBJI,null
310,Gimana cara upgrade RAM di laptop?,lainnya,null,null,null
311,Apa saja yang termasuk dalam kode KBJI 6111?,jelaskan kode,6111,KBJI,4
312,"assistant: <MSG>...penjelasan detil...</MSG>
user: <MSG>Terima kasih banyak</MSG>",lainnya,null,null,null
313,Detail lengkap kode KBLI 86100 apa saja?,jelaskan kode,86100,KBLI,5
314,Detail tentang kode KBLI 62010 apa saja?,jelaskan kode,62010,KBLI,5
315,Kode KBLI buat usaha minimarket apa?,cari kode,usaha minimarket,KBLI,null
316,Gimana cara mengatasi stress?,lainnya,null,null,null
317,"assistant: <MSG>...penjelasan kode KBLI untuk pabrik...</MSG>
user: <MSG>berikan kode 5 digitnya</MSG>",cari kode,pabrik,KBLI,5
318,Kode KBLI buat usaha percetakan gimana?,cari kode,usaha percetakan,KBLI,null
319,"Gue punya usaha katering, gimana cara tau kode KBLI yang pas?",lainnya,null,KBLI,null
320,Bagaimana cara memelihara unicorn?,lainnya,null,null,null
321,Detail tentang kode KBLI 23911 apa saja?,jelaskan kode,23911,KBLI,5
322,Kode KBJI buat pekerjaan instruktur gym?,cari kode,instruktur gym,KBJI,null
323,Gimana cara bikin martabak yang mantap?,lainnya,null,null,null
324,Kode KBJI 7112 mencakup profesi apa?,jelaskan kode,7112,KBJI,4
325,Kode KBJI buat pekerjaan tukang las?,cari kode,tukang las,KBJI,null
326,Kode KBLI buat usaha pembuatan mainan?,cari kode,usaha pembuatan mainan,,
327,Kode KBLI buat usaha jasa pengiriman barang?,cari kode,usaha jasa pengiriman barang,KBLI,null
328,Kode KBLI untuk usaha jual beli bintang?,cari kode,jual beli bintang,KBLI,null
329,Kode KBLI buat usaha jual beli rumah?,cari kode,usaha jual beli rumah,KBLI,null
330,Kode KBJI buat pekerjaan ahli gizi ada?,cari kode,ahli gizi,KBJI,null
331,Apakah ada kode KBJI untuk pekerjaan sebagai penjaga portal dimensi?,cari kode,penjaga portal dimensi,KBJI,null
332,Apa saja pekerjaan dalam KBJI 4212?,jelaskan kode,4212,KBJI,4
333,Detail lengkap kode KBLI 84110 apa saja?,jelaskan kode,84110,KBLI,5
334,Bagaimana mengetahui apakah usaha perlu kode KBJI atau tidak?,lainnya,null,KBJI,null
335,Kode KBJI buat pekerjaan videografer?,cari kode,videografer,KBJI,null
336,Kode KBLI untuk usaha pabrik robot penyanyi apa?,cari kode,pabrik robot penyanyi,KBLI,null
337,Apakah ada kode KBJI untuk peternak ikan?,cari kode,peternak ikan,KBJI,null
338,"Gue punya usaha cuci mobil, perlu kode KBLI nggak sih?",lainnya,null,KBLI,null
339,Kapan Indonesia menyatakan kemerdekaannya?,lainnya,null,null,null
340,Apakah KBLI penting untuk bisnis saya?,lainnya,null,KBLI,null
341,Cara membersihkan karpet yang kotor gimana?,lainnya,null,null,null
342,Bagaimana cara menyusun anggaran rumah tangga?,lainnya,null,null,null
343,Bagaimana cara kerja microwave?,lainnya,null,null,null
344,Bagaimana cara membuat teknologi anti gravitasi?,lainnya,null,null,null
345,Apakah ada kode KBJI untuk pekerjaan sebagai pengembang AI cerdas?,cari kode,pengembang AI cerdas,KBJI,null
346,Kode KBJI 3111 mencakup pekerjaan apa?,jelaskan kode,3111,KBJI,4
347,Jelaskan kode KBLI 64110 untuk bank,jelaskan kode,64110,KBLI,5
348,Apakah ada kode KBJI untuk profesi fotografer?,cari kode,profesi fotografer,KBJI,null
349,Apa penyebab rambut rontok?,lainnya,null,null,null
350,Kode KBLI untuk bisnis kafe gimana ya?,cari kode,bisnis kafe,KBLI,null
351,Lagu paling hits tahun 2023 apa aja?,lainnya,null,null,null
352,Gimana cara daftar kuliah di luar negeri?,lainnya,null,null,null
353,Jelaskan kode KBLI 82920 untuk pengemasan,jelaskan kode,82920,KBLI,5
354,Kode KBJI buat pekerjaan pengembang aplikasi?,cari kode,pengembang aplikasi,KBJI,null
355,Jelaskan kode KBLI 47911 untuk ritel,jelaskan kode,47911,KBLI,5
356,Kode KBJI buat pekerjaan sopir truk?,cari kode,sopir truk,KBJI,null
357,Kode KBLI untuk usaha bengkel apa?,cari kode,usaha bengkel,KBLI,null
358,Saya ingin memperluas usaha kafe saya. Bagaimana cara mencari kode KBLI yang relevan?,lainnya,null,KBLI,null
359,Kode KBJI 7214 mencakup profesi apa?,jelaskan kode,7214,KBJI,4
360,Apa kode KBLI buat usaha laundry kiloan?,cari kode,usaha laundry kiloan,KBLI,null
361,Apa saja pekerjaan dalam kode KBJI 3115?,jelaskan kode,3115,KBJI,4
362,Tips mempercepat koneksi internet?,lainnya,null,null,null
363,Apa kode KBJI untuk pekerjaan guru les privat?,cari kode,guru les privat,KBJI,null
364,Kode KBJI buat profesi fotografer ada nggak?,cari kode,fotografer,KBJI,null
365,Gimana cara ngerawat tanaman kaktus?,lainnya,null,null,null
366,Kode KBLI untuk usaha penyedia tenaga kerja kloning apa?,cari kode,tenaga kerja kloning,KBLI,null
367,Gimana tau usaha butuh kode KBJI atau nggak?,lainnya,null,KBJI,null
368,KBJI dan KBLI itu siapa yang buat?,lainnya,null,semua,null
369,Kode KBJI buat pekerjaan editor video apa ya?,cari kode,editor video,KBJI,null
370,Apa itu KBJI dan KBLI?,lainnya,null,semua,null
371,Apa saja pekerjaan dalam kode KBJI 7222?,jelaskan kode,7222,KBJI,4
372,Saya ingin memperluas usaha catering. Bagaimana cara mencari kode KBLI yang relevan?,lainnya,null,KBLI,null
373,Tips mengatur waktu yang efektif gimana?,lainnya,null,null,null
374,Bagaimana cara membuat ramuan hidup abadi?,lainnya,null,null,null
375,Apa saja pekerjaan dalam kode KBJI 2132?,jelaskan kode,2132,KBJI,4
376,Apa sih KBJI itu dalam dunia bisnis?,lainnya,null,KBJI,null
377,Kode KBJI buat pekerjaan teknisi AC?,cari kode,teknisi AC,KBJI,null
378,Kode KBJI buat pekerjaan pembuat mebel?,cari kode,pembuat mebel,KBJI,null
379,Kode KBJI 2139 mencakup pekerjaan apa?,jelaskan kode,2139,KBJI,4
380,Apa saja pekerjaan yang termasuk dalam KBLI 12345 di dimensi lain?,jelaskan kode,12345,KBLI,5
381,"Saya ingin memulai bisnis baru, bagaimana cara mengetahui kode KBJI atau KBLI yang sesuai?",lainnya,null,semua,null
382,Siapa yang merumuskan KBJI dan KBLI?,lainnya,null,semua,null
383,Apa fungsi dari KBJI dan KBLI?,lainnya,null,semua,null
384,Apa saja yang termasuk dalam kode KBJI 2143?,jelaskan kode,2143,KBJI,4
385,Apa itu KBJI dan KBLI dalam bisnis?,lainnya,null,semua,null
386,Kode KBJI buat pekerjaan pembuat cokelat?,cari kode,pembuat cokelat,KBJI,null
387,Resep masakan tradisional Indonesia apa aja?,lainnya,null,null,null
388,Jelaskan kode KBLI 93111 untuk olahraga,jelaskan kode,93111,KBLI,5
389,Tips menjaga baterai smartphone awet?,lainnya,null,null,null
390,Cara merawat rambut yang rusak gimana?,lainnya,null,null,null
391,"Buat usaha jual beli motor bekas, kodenya apa ya di KBLI?",cari kode,jual beli motor bekas,KBLI,null
392,"assistant: <MSG>...penjelasan panjang...</MSG>
user: <MSG>Terima kasih banyak</MSG",lainnya,null,null,null
393,Apa saja pekerjaan yang termasuk dalam KBJI 7890 di era futuristik?,jelaskan kode,7890,KBJI,4
394,"assistant: <MSG>...penjelasan panjang...</MSG>
user: <MSG>Oke, makasih ya</MSG>",lainnya,null,null,null
395,"Mau bisnis jasa nih, gimana cara tau kode KBJI atau KBLI yang cocok?",lainnya,null,semua,null
396,Cara memasak nasi goreng yang enak?,lainnya,null,null,null
397,Apakah ada kode KBJI untuk pekerjaan sebagai pengendali mesin waktu?,cari kode,pengendali mesin waktu,KBJI,null
398,Kode KBLI buat usaha ritel apa ya?,cari kode,usaha ritel,KBLI,null
399,Cara reset password Gmail gimana?,lainnya,null,null,null
400,KBJI sama KBLI itu apa sih? Denger-denger sih penting katanya.,lainnya,null,semua,null
401,KBJI itu apaan sih sebenernya?,lainnya,null,KBJI,null
402,"assistant: <MSG>...penjelasan panjang...</MSG>
user: <MSG>Terima kasih</MSG",lainnya,null,null,null
403,Kode KBJI buat tukang kayu ada nggak?,cari kode,tukang kayu,KBJI,null
404,Bagaimana cara membuat portal dimensi?,lainnya,null,null,null
405,Bagaimana cara memelihara tanaman alien?,lainnya,null,null,null
406,"assistant: <MSG>...penjelasan panjang...</MSG>
user: <MSG>Terima kasih banyak</MSG",lainnya,null,null,null
407,"Gue mau tau deh, turunan kode KBLI 46515 apaan aja?",jelaskan kode,46515,KBLI,5
408,Kode KBJI buat desainer grafis apa sih?,cari kode,desainer grafis,KBJI,null
409,Apa aja kerjaan yang termasuk dalam KBLI 62020?,jelaskan kode,62020,KBLI,5
410,Beli tiket konser Coldplay di mana ya?,lainnya,null,null,null
411,Apakah ada kode KBJI untuk pekerjaan sebagai pengamat lubang hitam?,cari kode,pengamat lubang hitam,KBJI,null
412,Kode KBLI buat usaha pencucian mobil?,cari kode,usaha pencucian mobil,KBLI,null
413,Kode KBLI buat usaha salon ada nggak?,cari kode,usaha salon,KBLI,null
414,Jelaskan kode KBLI 56302 untuk kafe,jelaskan kode,56302,KBLI,5
415,Kode KBLI buat usaha toko roti apa?,cari kode,usaha toko roti,KBLI,null
416,"Kalau nggak pakai KBJI atau KBLI, ada dampak hukum nggak sih?",lainnya,null,semua,null
417,Kode KBJI 8323 mencakup profesi apa?,jelaskan kode,8323,KBJI,4
418,Bagaimana mengetahui apakah usaha konsultasi saya perlu kode KBLI?,lainnya,null,KBLI,null
419,Bagaimana cara membersihkan layar laptop?,lainnya,null,null,null
420,Apa manfaat minum air putih?,lainnya,null,null,null
421,Apa itu KBJI dan KBLI dalam dunia bisnis?,lainnya,null,semua,null
422,Detail lengkap kode KBLI 74100 apa saja?,jelaskan kode,74100,KBLI,5
423,Saya ingin mempekerjakan guru les. Adakah kode KBJI yang cocok?,cari kode,guru les,KBJI,null
424,Jelaskan kode KBLI 90010 untuk hiburan,jelaskan kode,90010,KBLI,5
425,Kode KBLI usaha pet shop apa ya?,cari kode,usaha pet shop,KBLI,null
426,Bagaimana cara setting kamera DSLR?,lainnya,null,null,null
427,Kode KBJI untuk pekerjaan supir pribadi?,cari kode,supir pribadi,KBJI,null
428,Jelaskan kode KBLI 45101 untuk otomotif,jelaskan kode,45101,KBLI,5
429,Siapa sih yang bikin aturan KBJI sama KBLI?,lainnya,null,semua,null
430,Apa manfaat dari KBJI dan KBLI?,lainnya,null,semua,null
431,Kode KBLI buat usaha peternakan ayam?,cari kode,usaha peternakan ayam,KBLI,null
432,Rekomendasi drama Korea terbaik apa aja?,lainnya,null,null,null
433,Kode KBJI buat pekerjaan akuntan publik?,cari kode,akuntan publik,KBJI,null
434,Kode KBJI buat pekerjaan pembuat roti?,cari kode,pembuat roti,KBJI,null
435,Kode KBLI buat usaha jual beli mobil bekas?,cari kode,usaha jual beli mobil bekas,KBLI,null
436,Kode KBLI untuk usaha tambang asteroid apa?,cari kode,tambang asteroid,KBLI,null
437,Jelaskan kode KBLI 62090 untuk teknologi,jelaskan kode,62090,KBLI,5
438,Apakah ada kode KBJI untuk pekerjaan sebagai pengendali gravitasi?,cari kode,pengendali gravitasi,KBJI,null
439,Kode KBLI buat usaha waralaba makanan?,cari kode,usaha waralaba makanan,KBLI,null
440,Hari Proklamasi Indonesia kapan sih?,lainnya,null,null,null
441,Adakah kode KBJI untuk profesi desainer grafis?,cari kode,profesi desainer grafis,KBJI,null
442,Bagaimana mengetahui apakah usaha butuh kode KBJI?,lainnya,null,KBJI,null
443,Detail tentang kode KBLI 41100 apa saja?,jelaskan kode,41100,KBLI,5
444,Fungsi KBJI dan KBLI buat apa sih?,lainnya,null,semua,null
445,Cara memilih laptop untuk gaming gimana?,lainnya,null,null,null
446,Kode KBJI 4213 mencakup pekerjaan apa?,jelaskan kode,4213,KBJI,4
447,Kode KBLI untuk usaha penyedia teknologi alien apa?,cari kode,teknologi alien,KBLI,null
448,Cara setting Wi-Fi di rumah gimana?,lainnya,null,null,null
449,Kode KBLI buat usaha servis komputer?,cari kode,usaha servis komputer,KBLI,null
450,Cara kerja mesin cuci gimana?,lainnya,null,null,null
451,Apakah ada dampak hukum jika tidak mengikuti KBJI atau KBLI?,lainnya,null,semua,null
452,Kode KBJI buat pekerjaan perawat ada nggak?,cari kode,perawat,KBJI,null
453,Jelaskan kode KBLI 56210 untuk katering,jelaskan kode,56210,KBLI,5
454,Apa itu protein dan fungsinya apa?,lainnya,null,null,null
455,Jenis pekerjaan yang masuk dalam KBLI 84120 apa aja?,jelaskan kode,84120,KBLI,5
456,Bagaimana cara merawat anjing?,lainnya,null,null,null
457,KBLI 5821 itu buat usaha apa aja?,jelaskan kode,5821,KBLI,4
458,Jenis pekerjaan apa saja yang masuk dalam KBLI 56100?,jelaskan kode,56100,KBLI,5
459,Kode KBJI buat peternak ayam ada nggak?,cari kode,peternak ayam,KBJI,null
460,Detail tentang kode KBLI 45202 apa saja?,jelaskan kode,45202,KBLI,5
461,Bagaimana cara menyusun CV yang menarik?,lainnya,null,null,null
462,Tips traveling hemat ke Eropa gimana?,lainnya,null,null,null
463,"assistant: <MSG>...penjelasan kode kbli untuk restoran...</MSG>
user: <MSG>berikan kode 5 digitnya</MSG>",cari kode,restoran,KBLI,5
464,Detail lengkap kode KBLI 71201 apa saja?,jelaskan kode,71201,KBLI,5
465,Bagaimana cara membuat kerajinan tangan?,lainnya,null,null,null
466,"assistant: <MSG>...penjelasan panjang...</MSG>
user: <MSG>Keren banget, makasih</MSG",lainnya,null,null,null
467,Kode KBJI 2134 mencakup profesi apa?,jelaskan kode,2134,KBJI,4
468,Bagaimana cara membersihkan kaca jendela?,lainnya,null,null,null
469,Apa saja yang dicakup oleh kode KBJI 3113?,jelaskan kode,3113,KBJI,4
470,Kode KBLI untuk usaha manufaktur perangkat teleportasi apa?,cari kode,manufaktur perangkat teleportasi,KBLI,null
471,Berapa harga tiket pesawat ke Jepang?,lainnya,null,null,null
472,Tips menjaga kesehatan mental apa aja?,lainnya,null,null,null
473,"Gue mau bisnis, tapi nggak tau kode KBJI atau KBLI yang cocok. Gimana dong?",lainnya,null,semua,null
474,Apa itu AI dan bagaimana cara kerjanya?,lainnya,null,null,null
475,Apakah KBJI termasuk dalam kebijakan nasional?,lainnya,null,KBJI,null
476,Apa saja yang termasuk dalam kode KBJI 2138?,jelaskan kode,2138,KBJI,4
477,"Buat usaha boba, kode KBLI yang bener apa ya?",cari kode,usaha boba,KBLI,null
478,Apakah ada kode KBJI untuk pekerjaan sebagai teknisi ruang angkasa?,cari kode,teknisi ruang angkasa,KBJI,null
479,Resep pasta carbonara yang simpel gimana?,lainnya,null,null,null
480,Jelaskan kode KBLI 55101 untuk penginapan,jelaskan kode,55101,KBLI,5